company_name,job_title,location,country,work_type,employment_type,seniority_level,department,job_url,source_site,date_posted,salary,visa_sponsorship,requires_degree,technical_category,relevance_score,keep_or_reject,rejection_reason,short_summary,required_skills,preferred_skills
Airbnb,"Senior Machine Learning Engineer, Trust","Remote-USA, United States",USA,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7700249?gh_jid=7700249,Greenhouse,2026-03-12T09:57:35-04:00,Unknown,Unknown,Unknown,Data Science / ML,79,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
Airbnb,"Senior Software Engineer, Cloud Infrastructure AI","Remote - USA, United States",USA,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7568919?gh_jid=7568919,Greenhouse,2026-03-11T23:07:30-04:00,Unknown,Unknown,Unknown,Software Engineering,79,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
Airbnb,"Senior Software Engineer, Community Support Engineering","Remote, USA, United States",USA,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7482013?gh_jid=7482013,Greenhouse,2026-01-23T17:46:05-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
Airbnb,"Senior Software Engineer, Data Infrastructure","USA - Remote , United States",USA,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7683174?gh_jid=7683174,Greenhouse,2026-03-06T18:52:59-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;The Community You Will Join:&lt;/p&gt; &lt;p&gt;Data",,
Airbnb,"Senior Software Engineer, Guest & Host","Remote, USA, United States",USA,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7430121?gh_jid=7430121,Greenhouse,2026-01-23T18:10:46-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
Airbnb,"Senior Software Engineer, Guest & Host (Listing)","Remote, USA, United States",USA,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7450454?gh_jid=7450454,Greenhouse,2026-01-23T18:09:54-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
Airbnb,"Senior Software Engineer, Guest & Host (Partner Integrations)","Remote, USA , United States",USA,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7639355?gh_jid=7639355,Greenhouse,2026-02-24T11:34:07-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
Airbnb,"Senior Software Engineer, Messaging Foundations","Remote, USA , United States",USA,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7651517?gh_jid=7651517,Greenhouse,2026-02-24T17:32:10-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
Airbnb,Senior Software Engineer -Payments,"Bangalore, India",India,On-site,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7581839?gh_jid=7581839,Greenhouse,2026-02-14T09:39:56-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
Airbnb,"Senior Software Engineer, Payments","Bangalore, India",India,On-site,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7613550?gh_jid=7613550,Greenhouse,2026-03-01T13:59:55-05:00,Unknown,Unknown,Unknown,Software Engineering,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
